Command	Alias	Type	Hidden?	Ruling?	Response
chipruling		Reminders (Base)	TRUE		__**BattleChips**__ are one-use attacks that NetOps slot into their PETs. When a NetOp slots in a BattleChip, it is used immediately unless otherwise listed. Many BattleChips have **secondary effects**, like stunning or reducing one of the target’s skills. To resist these, the target must roll more hits than the chip’s damage. (If the chip deals no damage, the target must roll a success to resist the BattleChip.)\nYour PET's folder space is determined by your **Navi Mind + Navi Info + 2**.\nWhen making a new character, pick starter BattleChips equal to your **NetOp Mind + NetOp Info + 2**.\n\nAfter a Navi uses a BattleChip, they need to jack out to make that BattleChip usable again, or to change their Folder. **By default, Folders may not have duplicate BattleChips or more than 1 MegaChip, unless explictly stated otherwise.**
virusruling		Reminders (Base)	TRUE		__**Viruses**__ are programs with simple, animal-like intelligences that wreak havoc across the internet. Viruses frequently work together, synergizing with different Virus types to make formidable threats. Depending on their purpose, they may modify their environment to set up traps, entrench themselves, or simply to cause as much destruction as possible.\n\nEach Virus has a general **Category**, which helps describe their type (i.e. Artillery Viruses firing long-range blasts), while some may have **Tags** which indicate special common properties (i.e. Hovering). Viruses use Powers just like Navis, and many have special, custom abilities!\n\n**All Viruses have data within them that can be downloaded upon deletion.** Check out `{cp}help download` for more detail!
elementruling		Reminders (Base)	TRUE		When Navis roll Affinity, they can summon or manipulate their **__element__**. Player Navis can only summon and manipulate tangible manifestations of their element. This means emotions, sensations, or abstract concepts (i.e. Luck or Chaos) cannot be directly summoned or manipulated. However, summoned objects may be able to manipulate abstract ideas (i.e. using a summoned clock to slow time). In general, using your element becomes more difficult at greater quantities or distances.\n\nBroadly-defined elements have a harder time performing specific actions. Powerful elements should have limitations or drawbacks. Unless using the Navi Power Control, damaging Elements are Hazards. Without GM assent, elements only act as defined above. \n\n**NPCs and enemies, especially bosses, may ignore these restrictions.** Enemy elements may be overpowering or have special mechanics tied to them. Make sure to find ways to overcome the enemy's element!
npuruling		Reminders (Advanced Content)	TRUE		__**Navi Power Upgrades**__ (NPUs) are NCPs that can be used to upgrade Navi Powers. All NPUs require the original Navi Power, either from character creation or a NaviCust Program. **You can only have one Navi Power Upgrade installed for each Navi Power.**\nBenefits from Navi Power Upgrades are lost if either the Upgrade or the Navi Power itself are uninstalled. Anything that copies Navi Powers (e.g. NaviChips) also copies NPUs.
powerruling		Reminders (Base)	TRUE		All Navis have __**Navi Powers**__: special abilities they can use at any time. There are two types of powers:\n> ◊ **Cost Powers** reduce the relevant skill by one to use them, no roll required. Cost Powers cannot be used if the skill is 0.\n > • **Roll Powers** roll the relevant skill to use the power.\n\nTargets can defend against Navi Powers that directly impede them (e.g. Disruption; not Analyze). Cost Powers that only modify the user’s attack (e.g. BreakCharge) take no time to activate; other Cost Powers may be quick to activate as well, depending on the power and situation.
audienceruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given two resources: **Cheer Points** and **Jeer Points**. \n**Cheer Points:** When players rolls anything but a failure, they can downgrade the result of their roll to give the audience Cheer Points (+2 points per downgraded level). \n**Jeer Points:** The GM can give Jeer Points as the downside to a player's partial success or failure (2 points for partial, 4 points for failure). \n\nAudience members can spend Cheer and Jeer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer/Jeer points and how often! \n> **1 Point:** Roll a random effect on the Cheer/Jeer table.\n > **2 Points:** Pick a specific effect from the Cheer/Jeer table.\n > **5 Points:** Pick a specific effect from the MegaCheer/MegaJeer table! 
cheerruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given **Cheer Points**, which they can use to grant players bonuses and benefits! When players rolls anything but a failure, they can downgrade the result of their roll to give the audience Cheer Points (+2 points per downgraded level). \n\nAudience members can spend Cheer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer points and how often! \n> **1 Point:** Roll a random effect on the Cheer table.\n > **2 Points:** Pick a specific effect from the Cheer table.\n > **5 Points:** Pick a specific effect from the MegaCheer table! 
jeerruling		Reminders (Advanced Content)	TRUE		When a session has **__Audience Participation__**, the audience is given **Jeer Points**, which they can use to boost enemies and trip up players! The GM can give Jeer Points as the downside to a player's partial success or failure (2 points for partial, 4 points for failure). \n\nAudience members can spend Jeer points at any time. If the effect can't manifest now, it will appear at the next opportunity. For larger audiences, consider limiting who can spend Cheer/Jeer points and how often! \n> **1 Point:** Roll a random effect on the Jeer table.\n > **2 Points:** Pick a specific effect from the Jeer table.\n > **5 Points:** Pick a specific effect from the MegaJeer table! 
networkmodruling		Reminders (Advanced Content)	TRUE		__**Network Modifiers**__ (Network Mods) are overarching rules applied to an entire network. Network Mods are often installed somewhere onto the server, either housed digitally as a huge structure or physically inserted into the server itself. 
daemonruling		Reminders (DarkChips)	TRUE		__**Daemons**__ are the entities responsible for **DarkChips**. Mysterious beings with inestimatable powers, they prey on insecurities to forge dark bonds with Navis.\n\nDaemons have four aspects: their **Domain**, **Tribute**, **ChaosUnison**, and **Signature DarkChip**. Within their Domain, their powers are myriad and far-reaching: spawning Viruses, corrupting Mystery Data, and haunting NPCs are just some of the ways they can exert their influence. And while they are responsible for DarkChips, they can tempt Navis in other, crueller ways so long as it aligns with their Domain, all in exchange for a Bond Point or Tribute.
					
crimsonnoise		Rollers	FALSE		This commands rolls CrimsonNoise (unofficial content) and gives you the result automatically! Specify `{cp}crimsonnoise common`, `{cp}crimsonnoise`, or `{cp}crimsonnoise rare`!
					
commands		Helpers	FALSE		Provides the list of commands available for the user to run.
unknowncommand		Helpers	TRUE		I don't know this command, or there is no help message for this command.
query		Lookups	FALSE		The Query command can be used to filter through **Chips**, **NCPs **, **Powers**, and **Viruses** by *Tag*, *Category*, or *Crossover Content*! It can also list **Daemons** and **Network Modifiers**, as well as look up **Navi Power Upgrades**! 
oops		Helpers	FALSE		Deletes the bot message from the user's last valid command.
bugreport		Helpers	FALSE		Send a bug report to the ProgBot developers.
invite		Helpers	FALSE		Create an invite link to add ProgBot to other servers.
help		Helpers	TRUE		Do you really need help with help? :thinking:
you		Helpers	TRUE		Got a suggestion or would like to report an issue? Use `{cp}bugreport` to let us know, or contact the ProgBot development team!
me		Helpers	TRUE		https://media1.tenor.com/images/b769654d59686712dead0d060f233341/tenor.gif?itemid=5613659
					
will	netbattlers	Helpers	TRUE		:owl: https://www.patreon.com/willuhl :owl: 
					
developers	developer, dev, devs	Helpers	TRUE		Their real name is ` `ōnĕ.
developers	developer, dev, devs	Helpers	TRUE		You can woo them with a particularly nice rock.
developers	developer, dev, devs	Helpers	TRUE		They eat cereal out of plastic red party cups.
developers	developer, dev, devs	Helpers	TRUE		They have eaten over sixty pieces of salmon sashimi in one sitting. They regret nothing.
developers	developer, dev, devs	Helpers	TRUE		Their objectively true opinion is that Yosuke is best gril.
developers	developer, dev, devs	Helpers	TRUE		They play a tabletop RPG called NetBattlers.
					
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Setup**\nWhen combat begins, assemble a grid map to illustrate the environment. A small arena may have a length and width of 10 by 10 tiles, but most should by at least 24 by 24, with an average height of at least 12 tiles.\nMost Navis are 2 tiles tall, 1 tile long, and 1 tile wide. Most Viruses are 1x1x1. The GM decides when things fit outside those parameters.\n\n**Range Bands and Movement**\nJust like outside of grid-based combat, range bands are measured relative to two things. To measure the distance between two entities, suspend a piece of string between them, draw it taut, then cut the string. If the segment measuring the distance between the two entities is under 3 inches, they are Close. If it is between 3 and 12 inches (inclusive), they are Near. Anything past that is Far.\nMoving range bands works the same way, except the string should follow the projected trajectory. Therefore, the string must include enough slack to account for arcs inherent in actions like jumping.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tile types**\n>>> **Blank:** This tile just contains air.\n**Floor:** Navis can stand here.\n**Wall:** This tile is unpassable.\n**Hazard:** See hazard rules.\n**Spring:** Downshifts movement.\n**False:** This is not really a tile.\n**NaviCust:** See NaviCust rules.\n**SP:** This tile is in superposition.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tile types**\n>>> **Blank:** This tile just contains air.\n**Floor:** Navis can stand here.\n**Wall:** This tile is unpassable.\n**Hazard:** See hazard rules.\n**Empty:** The tile is relatable.\n**Blank:** The tile contains nothing.\n**Justice:** This tile does not exist.\n**Fire:** Fire.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is a common allotrope used in many types of munitions. It can set fire to cloth, fuel, ammunition, and flesh. Though controversial, its use against personnel is not prohibited. Survivors of Grid-Based Combat often suffer severe damage to the kidneys and liver, as well as the cardiovascular and nervous systems.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		In a "No-Fail Mission," failure is not an acceptable outcome. If necessary, a squad will sacrifice their lives to achieve their goal.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is an uncomfortable feeling caused by holding two conflicting ideas simultaneously.\nYou are still a good person.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		**Tips for running grid-based combat**\n>>> 1: Collateral damage is any incidental damage that occurs as a result of military action. Such damage is not unlawful if it is not excessive.\n2: There is no difference between what is right and what is necessary.\n3: Kill a man, and you are a murderer. Kill everyone, and you are a god.\n4: Do you feel like a hero yet?
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Grid-Based Combat is a message... and part of a system of messages... pay attention to it!\nSending this message was important to us. We considered ourselves to be a powerful culture.\nThis place is not a place of honor... no highly esteemed deed is commemorated here... nothing valued is here.\nWhat is here was dangerous and repulsive to us. This message is a warning about danger.\nThe danger is in a particular location... it increases towards a center... the center of danger is here... of a particular size and shape, and below us.\nThe danger is still present, in your time, as it was in ours.\nThe danger is to the body, and it can kill.\nThe form of the danger is an emanation of energy.\nThe danger is unleashed only if you substantially disturb this place physically. This place is best shunned and left uninhabited.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		You cannot lose if you do not play.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		```\n.__   __.   ______   \n|  \ |  |  /  __  \  \n|   \|  | |  |  |  | \n|  . `  | |  |  |  | \n|  |\   | |  `--'  | \n|__| \__|  \______/\n```
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Okay, #general-netbattlers, I need your help with this. This is not a help text, this is a long read, but I feel like my safety or well-being could very well depend on this. This is NetBattlers related, specifically grid-based combat, and this is the creepiest shit that has ever happened to me in my entire life.\n\nHaving said that, I recently moved into my dorm room starting as a Sophomore in college and a friend of mine gave me his old dice set & a hand-printed copy of World of Dungeons. I was stoked, to say the least, I could finally play TTRPGs IRL with my friends and not have to use one of those dice roller apps. His copy of WoD came with a partially-filled character sheet and some loose GM notes, and while beggars can't be choosers, needless to say it didn't take long until I wanted to run something different.\n\nThat weekend I decided to drive around a few neighborhoods about twenty minutes or so off campus, hitting up the local garage sales, hoping to score on some good deals from ignorant parents). I ended up picking up a copy of ODnD, Tenra Bansho Zero (fuck yeah), Ryuutama, and two other books for twenty dollars. Satisfied, I began to drive out of the neighborhood when one last house caught my attention. I still have no idea why it did, there were no cars there and only one table was set up with random junk on it, but something sort of drew me there. I usually trust my gut on these things so I got out of the car and I was greeted by an old man. His outward appearance was, for lack of a better word, displeasing. It was odd, if you asked me to tell you why I thought he was displeasing, I couldn't really pinpoint anything - there was just something about him that put me on edge, I can't explain it. All I can tell you is that if it wasn't in the middle of the afternoon and there were other people within shouting distance, I would not have even thought of approaching this man.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		He flashed a crooked smiled at me and asked what I was looking for, and immediately I noticed that he must be blind in one of his eyes; his right eye had that "glazed over" look about it. I forced myself to look to his left eye instead, trying not to offend, and asked him if he had any old roleplaying books.\n\nI was already wondering how I could politely excuse myself from the situation when he would tell me he had no idea what a roleplaying game was, but to my surprise he said he had a few ones in an old box. He assured me he'd be back in a "jiffy" and turned to head back into the garage. As I watched him hobble away, I couldn't help but notice what he was selling on his table. Littered across his table were rather… peculiar paintings; various artworks that looked like ink blots that a psychiatrist might show you. Curious, I looked through them - it was obvious why no one was visiting this guy's garage sale, these weren't exactly aesthetically pleasing. As I came to the last one, for some reason it looked almost like a mettaur - the same little yellow helmet with two big eyes poking out from underneath. Initially I just thought that since I was secretly hoping to find that game at these garage sales, some Freudian bullshit was projecting itself into the ink blots, but given the events that happened afterward I'm not so sure now. I should have asked the man about it. I wish I would have asked the man about it.\n\nAfter staring at the mettaur-shaped blot, I looked up and the old man was suddenly there again, arms-length in front of me, smiling at me. I'll admit I jumped out of reflex and I laughed nervously as he handed me a printout of "NetBattlers". Even though it was clearly printed by hand, the cover looked awesome. I got butterflies in my stomach as I realized what a coincidence this was and asked him how much he wanted for it.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		The old man smiled at me and told me that I could have it for free, that it used to belong to a kid who was about my age that didn't live here anymore. There was something weird about how the man phrased that, but I didn't really pay any attention to then, I was too caught up in not only finding this game but getting it for free.\n\nI reminded myself to be a bit skeptical since this looked like a pretty shady printout and there's no guarantee it would work, but then the optimist inside me interjected that maybe it was some kind of beta version or pirated version of the game and that was all I needed to be back on cloud nine. I thanked the man and the man smiled at me and wished me well, saying "Well, goodbye!" - at least that's what it sounded like to me. All the way in the car-ride home, I had a nagging doubt that the man had said something else. My fears were confirmed when I found some character sheets in the back of the book and there was one player named simply "Will". "Will, goodbye", he was saying "Will, goodbye". I felt bad for the man, obviously a grandparent and obviously going senile, and I - for some reason or another - reminded him of his grandchild "Will".\n\nOut of curiosity I looked at the character sheet. Eyeballing it, I could tell that they were pretty far into their campaign - they had 8 EB and over a dozen chips. I noticed that they had max bonds with three other players, with personal notes about how they wanted their character's prologue to end. I remember thinking that it was a shame that they had come so close to finishing a campaign. I drafted up a new character named "Raffi" and started the game, ready to relive my childhood.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		Help with what? The long night is over. The crown of combat is tarnished, but that will fade in time. The tile types, a fever dream; the initiative rerolls, a horrible nightmare; and like everything else that's happened, such things will only be dimly remembered upon waking to their normal lives. In the end, all sins are forgiven. Even yours.
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
grid	grid-basedcombat, gridbased, gridbasedcombat, grids	Helpers	TRUE		:warning::warning:  **SOMETHING BROKE**  :warning::warning: \n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning: **YOU DID THIS TO ME** :warning::warning:\n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning:  **ARE YOU PROUD???** :warning::warning:\n\n:warning::warning:  **SOMETHING BROKE**  :warning::warning:\n\n:warning::warning:   **BEWARE THE GRID**   :warning::warning:
