Chip	Dmg	Range	Effect	Category	Tags	Tags In Brackets	Single Description	From?	License	Alias
IronShield	-	Close	Summons a wide, unmovable iron barrier in front of yourself.	Summon			Summons a wide, unmovable iron barrier in front of yourself.	Core		
Meteors	-	Close	Magic scepter! It periodically calls down 2-damage Far-range Dangerous meteors, up to 5 total.	Summon	Slow	 [Slow]	Magic scepter! It periodically calls down 2-damage Far-range Dangerous meteors, up to 5 total. [Slow]	Core		Meteor
Mine	-	Close	A disc-shaped mine! If something touches it, it detonates for 4 Piercing damage.	Summon	Dangerous, Slow	 [Dangerous, Slow]	A disc-shaped mine! If something touches it, it detonates for 4 Piercing damage. [Dangerous, Slow]	Core		
MokoRush	2	Close	A cute ram! Pick 2: charge a Near target; ride it a range band; spread fluff around; bleat loudly.	Summon	Slow	 [Slow]	A cute ram! Pick 2: charge a Near target; ride it a range band; spread fluff around; bleat loudly. [Slow]	Core		
Mole	-	Close	Summons a mole which digs a tunnel to a simple, nearby destination.	Summon	Slow	 [Slow]	Summons a mole which digs a tunnel to a simple, nearby destination. [Slow]	Core		
Prism	-	Close	If hit by a ranged attack, attacker picks 2 Near targets to refract the attack to. Breaks after 4 dmg.	Summon	Slow	 [Slow]	If hit by a ranged attack, attacker picks 2 Near targets to refract the attack to. Breaks after 4 dmg. [Slow]	Core		
RainyDay	-	Near	Calls down a torrential downpour from a solid, squishy raincloud.	Summon			Calls down a torrential downpour from a solid, squishy raincloud.	Core		
Ratton	2	Near	A homing rat bomb can find enemies that are invisible or hiding behind cover.	Summon	Accurate	 [Accurate]	A homing rat bomb can find enemies that are invisible or hiding behind cover. [Accurate]	Core		
Recall	-	Close	Summons the last Virus you deleted to help you out. It has 1 HP.	Summon			Summons the last Virus you deleted to help you out. It has 1 HP.	Core		
RiskyHoney	2	Close	Summons a beehive that attacks and makes noise when approached.	Summon			Summons a beehive that attacks and makes noise when approached.	Core		
RockArm	3	Close	A hefty boulder plummets! Spend 1 Strength to pick 1: shockwaves a Near target; is Piercing.	Summon	Slow	 [Slow]	A hefty boulder plummets! Spend 1 Strength to pick 1: shockwaves a Near target; is Piercing. [Slow]	Core		
RockCube	-	Close	Summons a large cube of stone in front of the Navi.	Summon			Summons a large cube of stone in front of the Navi.	Core	Starter	
Rook	-	Close	Creates a 15-foot stone tower with battlements. Easily climbable.	Summon	Awkward, Slow	 [Awkward, Slow]	Creates a 15-foot stone tower with battlements. Easily climbable. [Awkward, Slow]	Core		
Sensor	2	Close	A motion-sensing eye stuns the first enemy it sees and alerts you. Takes a minute to open.	Summon	Accurate, Slow	 [Accurate, Slow]	A motion-sensing eye stuns the first enemy it sees and alerts you. Takes a minute to open. [Accurate, Slow]	Core	S-License	
Silence	-	Near	Summons a musical program that silences all Near sound until it’s broken.	Summon			Summons a musical program that silences all Near sound until it’s broken.	Core		
SnakeCharmer	2	Near	Snakes rush! Spend 1 Charm to pick 2: hits twice; is Accurate; your element is briefly Snakes.	Summon	Slow	 [Slow]	Snakes rush! Spend 1 Charm to pick 2: hits twice; is Accurate; your element is briefly Snakes. [Slow]	Core		
TimeBomb	4	Close	Summons a bomb on a three-second countdown.	Summon	Slow	 [Slow]	Summons a bomb on a three-second countdown. [Slow]	Core		
Totem	3	Near	Deploys a motion-sensing turret that looses a fire blast at the first thing it sees.	Summon	Dangerous	 [Dangerous]	Deploys a motion-sensing turret that looses a fire blast at the first thing it sees. [Dangerous]	Core		
Wind	-	Near	Summons a gust of wind to blow targets towards or away from you.	Summon			Summons a gust of wind to blow targets towards or away from you.	Core		
										
AirShoes	-	-	Fly through the air for 5 rolls.	Support	Simple	 [Simple]	Fly through the air for 5 rolls. [Simple]	Core		AirShoe
Attack+1	-	-	Add one hit to your next non-BattleChip attack.	Support	Simple	 [Simple]	Add one hit to your next non-BattleChip attack. [Simple]	Core	Starter	Atk+1
Barrier	-	-	Next time you fail to defend against an attack, a barrier nullifies all damage and effects.	Support	Guard, Slow	 [Guard, Slow]	Next time you fail to defend against an attack, a barrier nullifies all damage and effects. [Guard, Slow]	Core	Starter	
BraveHeart	-	-	If you win your next parry, gain 3 HP and 3 Charge. Spend 1 Bravery to refresh this chip.	Support	Guard	 [Guard]	If you win your next parry, gain 3 HP and 3 Charge. Spend 1 Bravery to refresh this chip. [Guard]	Core		
BubbleStar	-	Near	Seals the target in a floating bubble.	Support	Awkward	 [Awkward]	Seals the target in a floating bubble. [Awkward]	Core		
ColorPoint	-	-	If your Element is Near, consume all of it to add +2 dice to your next roll.	Support	Simple	 [Simple]	If your Element is Near, consume all of it to add +2 dice to your next roll. [Simple]	Core	C-License	
CopyDamage	-	Near	Next time you or an ally attack a different enemy, a copy of the attack hits the target.	Support			Next time you or an ally attack a different enemy, a copy of the attack hits the target.	Core		
Dropdown	-	-	Allows you to reverse your gravity for up to a minute.	Support	Simple	 [Simple]	Allows you to reverse your gravity for up to a minute. [Simple]	Core		
Fanfare	-	Near	Sing loudly to grant an ally a Guard; they are invincible for their next roll.	Support	Awkward	 [Awkward]	Sing loudly to grant an ally a Guard; they are invincible for their next roll. [Awkward]	Core	A-License	
FolderRewind	-	Far	Spend 1 Info: use a copy of the last chip used in range. (Copied chips do not become Simple.)	Support	Simple	 [Simple]	Spend 1 Info: use a copy of the last chip used in range. (Copied chips do not become Simple.) [Simple]	Core		
GeminiTwin	-	-	Holo-clone! Upshift the next 3 attacks on you. If they use a BattleChip, take -1 dmg instead.	Support	Guard, Slow	 [Guard, Slow]	Holo-clone! Upshift the next 3 attacks on you. If they use a BattleChip, take -1 dmg instead. [Guard, Slow]	Core		
GuardShield	-	Close	Next time you or a Close ally are attacked, the damage is 0 (secondary effects still apply).	Support	Guard	 [Guard]	Next time you or a Close ally are attacked, the damage is 0 (secondary effects still apply). [Guard]	Core		
HiveShield	-	Near	Downshift next defense. If you take 0 damage, send a 3-damage bee barrage at the attacker.	Support	Guard	 [Guard]	Downshift next defense. If you take 0 damage, send a 3-damage bee barrage at the attacker. [Guard]	Core		
Invis	-	-	Become invisible for several seconds.	Support	Simple	 [Simple]	Become invisible for several seconds. [Simple]	Core		Invisible
LeafShield	2	Near	Can instead be used to take -2 damage next time you’re hit.	Support	Guard	 [Guard]	Can instead be used to take -2 damage next time you’re hit. [Guard]	Core		
MapView	-	Far	Launch a camera straight up for an eagle-eye view of the surroundings. Bonks off ceilings.	Support	Awkward	 [Awkward]	Launch a camera straight up for an eagle-eye view of the surroundings. Bonks off ceilings. [Awkward]	Core		
PowerCapsule	-	-	Next rolled attack briefly (pick 1): slows movement; blinds; blocks healing HP.	Support	Simple	 [Simple]	Next rolled attack briefly (pick 1): slows movement; blinds; blocks healing HP. [Simple]	Core		
Recover4	-	-	Recover four HP.	Support			Recover four HP.	Core		
Reflex	-	-	Act immediately the next time an enemy damages you.	Support	Guard, Simple	 [Guard, Simple]	Act immediately the next time an enemy damages you. [Guard, Simple]	Core		
Repair	-	Near	Fix a broken structure.	Support			Fix a broken structure.	Core	Starter	
Shadow	-	-	For a minute, you’re impossible to detect while in darkness.	Support	Simple	 [Simple]	For a minute, you’re impossible to detect while in darkness. [Simple]	Core		
SkullBarrier	-	-	Pick 1: take -1 damage from the next 3 attacks; downshift your next Bravery roll to intimidate.	Support	Guard	 [Guard]	Pick 1: take -1 damage from the next 3 attacks; downshift your next Bravery roll to intimidate. [Guard]	Core		
StoneBody	-	-	For 5 defense rolls, damage over 1 is reduced to 1, but you’re unable to move range bands.	Support	Guard	 [Guard]	For 5 defense rolls, damage over 1 is reduced to 1, but you’re unable to move range bands. [Guard]	Core		
SweetHeart	-	Near	Spend 1 Charm and pick an ally; ribbons heal them 4 HP and dizzy enemies Close to them.	Support	Awkward	 [Awkward]	Spend 1 Charm and pick an ally; ribbons heal them 4 HP and dizzy enemies Close to them. [Awkward]	Core		
SystemScan	-	Far	Pick a single location in range - the GM will tell you five words about the biggest threat inside.	Support	Slow	 [Slow]	Pick a single location in range - the GM will tell you five words about the biggest threat inside. [Slow]	Core		
TimeCancel	-	Near	Next time an enemy uses a Simple chip, you can use one roll/chip right before it activates.	Support	Guard, Slow	 [Guard, Slow]	Next time an enemy uses a Simple chip, you can use one roll/chip right before it activates. [Guard, Slow]	Core		
TimeStopper	-	-	Next time you succeed a Mind roll with 2+ hits, stop time long enough for one roll/chip.	Support	Guard, Slow	 [Guard, Slow]	Next time you succeed a Mind roll with 2+ hits, stop time long enough for one roll/chip. [Guard, Slow]	Core	S-License	
Timpani	-	Close	Summons drums. As long as you beat them, upshifts enemy Speed rolls.	Support			Summons drums. As long as you beat them, upshifts enemy Speed rolls.	Core		
TundraSpotlight	-	Near	Casts you in a rainbow light that draws attention and downshifts your next Soul roll.	Support	Simple	 [Simple]	Casts you in a rainbow light that draws attention and downshifts your next Soul roll. [Simple]	Core		
										
AirBomb	2	Near	Moves the target and everyone Close to them one range band - choose the direction.	Thrown	Awkward, Dangerous	 [Awkward, Dangerous]	Moves the target and everyone Close to them one range band - choose the direction. [Awkward, Dangerous]	Core		
AirSpin	2	Near	Throws a disc-shaped fan that blows a powerful whirlwind gust upwards.	Thrown	Awkward	 [Awkward]	Throws a disc-shaped fan that blows a powerful whirlwind gust upwards. [Awkward]	Core		
AirStrike	2x2	Near	Torpedo volley! Upshift defense if you’re above the target and Near distance.	Thrown	Slow	 [Slow]	Torpedo volley! Upshift defense if you’re above the target and Near distance. [Slow]	Core		
BlackBomb	1	Near	Tosses a hefty bomb. If hit with fire, creates a 5-damage explosion that hits all Close to it.	Thrown	Awkward, Dangerous, Slow	 [Awkward, Dangerous, Slow]	Tosses a hefty bomb. If hit with fire, creates a 5-damage explosion that hits all Close to it. [Awkward, Dangerous, Slow]	Core		
Cactiball	3	Near	Rolling cactus ball! Anything it rolls or bounces on is covered in cactus needles.	Thrown	Slow	 [Slow]	Rolling cactus ball! Anything it rolls or bounces on is covered in cactus needles. [Slow]	Core		
ChainBlast	X	Near	Hits everything Close to the target. X=the number of enemies hit.	Thrown			Hits everything Close to the target. X=the number of enemies hit.	Core		
DiceBomb	X	Near	A randomized attack! X=Roll 2d6, use the lowest value as your damage.	Thrown			A randomized attack! X=Roll 2d6, use the lowest value as your damage.	Core		
Firecracker	1	Near	Bright, colorful lights fireworks daze the target, halving their Sense (rounding down) for 2 rolls.	Thrown			Bright, colorful lights fireworks daze the target, halving their Sense (rounding down) for 2 rolls.	Core		
FlamingLasso	2	Near	Can spend 1 Strength to upshift the target’s next roll, pull them Close, or get dragged behind them.	Thrown			Can spend 1 Strength to upshift the target’s next roll, pull them Close, or get dragged behind them.	Core		
FlashBomb	-	Near	Tosses a blinding bomb on a three-second timer.	Thrown	Slow	 [Slow]	Tosses a blinding bomb on a three-second timer. [Slow]	Core		
GutsShoot	X	Near	Toss an ally! X=your ally’s Body score.	Thrown	Awkward	 [Awkward]	Toss an ally! X=your ally’s Body score. [Awkward]	Core	S-License	GutShoot
IceBall	2	Near	Freezes the target’s lower half on impact; creates a sheet of ice on miss.	Thrown	Dangerous	 [Dangerous]	Freezes the target’s lower half on impact; creates a sheet of ice on miss. [Dangerous]	Core		
Kunai	2	Near	Toss a volley of stealthy knives! They fly silently through the air.	Thrown	Piercing	 [Piercing]	Toss a volley of stealthy knives! They fly silently through the air. [Piercing]	Core		
LastOut	1	Near	A sparking spikeball knocks out the alphabetically last chip in the target’s Folder.	Thrown	Awkward	 [Awkward]	A sparking spikeball knocks out the alphabetically last chip in the target’s Folder. [Awkward]	Core		
LavaBall	3	Near	Coats the floor in a pool of lava on a miss.	Thrown	Dangerous, Slow	 [Dangerous, Slow]	Coats the floor in a pool of lava on a miss. [Dangerous, Slow]	Core		
LightningRod	1	Near	The next time the target’s attacked, a 2-damage bolt of lightning adds to the damage.	Thrown	Awkward	 [Awkward]	The next time the target’s attacked, a 2-damage bolt of lightning adds to the damage. [Awkward]	Core		
LogicBomb	2	Near	A code bomb full of malicious programming. Must roll Coding to defend.	Thrown			A code bomb full of malicious programming. Must roll Coding to defend.	Core		
MagBomb	1	Near	Magnetizes the target’s lower half to the floor.	Thrown			Magnetizes the target’s lower half to the floor.	Core		
Magnum	3	Near	The Navi leaps into the air and throws down rapidfire explosives.	Thrown	Accurate, Dangerous, Slow	 [Accurate, Dangerous, Slow]	The Navi leaps into the air and throws down rapidfire explosives. [Accurate, Dangerous, Slow]	Core		
MiniBomb	1	Near	A tiny blue bomb. Spend 1 Info point: this chip will not be exhausted while jacked in.	Thrown			A tiny blue bomb. Spend 1 Info point: this chip will not be exhausted while jacked in.	Core		
QuickRound	2	Near	Throws a small, sharp boomerang. Spend 1 Speed point: make this chip usable again.	Thrown			Throws a small, sharp boomerang. Spend 1 Speed point: make this chip usable again.	Core		
RollingShield	2	Near	Can instead be used to block a single projectile attack.	Thrown	Guard, Awkward	 [Guard, Awkward]	Can instead be used to block a single projectile attack. [Guard, Awkward]	Core		
SeekBomb	2	Near	A heat-seeking bomb flies through the air! Can spend 1 Coding to set the range to Far.	Thrown	Accurate	 [Accurate]	A heat-seeking bomb flies through the air! Can spend 1 Coding to set the range to Far. [Accurate]	Core		
ShieldBoomerang	2	Near	Downshift your next defense if this hits.	Thrown	Guard, Slow	 [Guard, Slow]	Downshift your next defense if this hits. [Guard, Slow]	Core		
StickyStick	2	Near	Tosses a 10-foot pole. Sticks to whatever it hits; difficult to break.	Thrown	Awkward	 [Awkward]	Tosses a 10-foot pole. Sticks to whatever it hits; difficult to break. [Awkward]	Core	C-License	
SwapRing	1	Near	A glowing, magic ring! Instantly swaps your position with the target.	Thrown			A glowing, magic ring! Instantly swaps your position with the target.	Core	A-License	
TreeBomb	1	Near	Huge seed! If watered, a 4-damage tree sprouts, hitting all Close & pushing them a range band.	Thrown	Awkward, Slow	 [Awkward, Slow]	Huge seed! If watered, a 4-damage tree sprouts, hitting all Close & pushing them a range band. [Awkward, Slow]	Core		
VesselBomb	4	Near	You must spend 1 Affinity point. Spreads your element on impact.	Thrown	Slow	 [Slow]	You must spend 1 Affinity point. Spreads your element on impact. [Slow]	Core		
ZapNet	1	Near	Tangles and zaps the target, setting Speed to 0 while ensnared. Untangling takes a moment.	Thrown	Awkward	 [Awkward]	Tangles and zaps the target, setting Speed to 0 while ensnared. Untangling takes a moment. [Awkward]	Core		
										
AquaTower	3	Close	A massive geyser erupts around you! Doesn’t hurt you. All hit are flung upwards.	Wave	Awkward, Slow	 [Awkward, Slow]	A massive geyser erupts around you! Doesn’t hurt you. All hit are flung upwards. [Awkward, Slow]	Core		
BigHeart	-	Near	Love burst! Pick 2: briefly grab their focus; downshift their next Charm roll; heal them 2 HP.	Wave			Love burst! Pick 2: briefly grab their focus; downshift their next Charm roll; heal them 2 HP.	Core		
BigWave	3	Near	A massive shockwave cracks surfaces as it travels.	Wave	Dangerous	 [Dangerous]	A massive shockwave cracks surfaces as it travels. [Dangerous]	Core		
BlackWing	-	Near	Sinister bats fly at the target! Everyone targeted makes a Bravery roll to resist panicking.	Wave			Sinister bats fly at the target! Everyone targeted makes a Bravery roll to resist panicking.	Core		
BrowserCrasher	-	Near	A light blast blocks communication between Navis & NetOps. Normal NetOp Coding to fix.	Wave	Slow	 [Slow]	A light blast blocks communication between Navis & NetOps. Normal NetOp Coding to fix. [Slow]	Core		
BurstRevenge	2xX	Near	Let loose fiery bursts of rage! X=number of enemies in range who have damaged you.	Wave	Dangerous	 [Dangerous]	Let loose fiery bursts of rage! X=number of enemies in range who have damaged you. [Dangerous]	Core		
CandyWave	2	Near	Spend 1 Charm to pick 1: candy is sticky; candy is big and bouncy; Viruses really want to eat it.	Wave			Spend 1 Charm to pick 1: candy is sticky; candy is big and bouncy; Viruses really want to eat it.	Core		
CashFlow	2	Near	A tidal wave of fake wealth! Spend 200z to make this chip usable again.	Wave	Awkward	 [Awkward]	A tidal wave of fake wealth! Spend 200z to make this chip usable again. [Awkward]	Core		
CustomVolt	2	Near	Crackling bolts arc to enemies Near the target if they have BattleChips.	Wave			Crackling bolts arc to enemies Near the target if they have BattleChips.	Core		
DesertLions	3	Near	Sand lions attack, trailing sand. Spend 1 Charm: target sees mirages of your choice.	Wave	Awkward, Slow	 [Awkward, Slow]	Sand lions attack, trailing sand. Spend 1 Charm: target sees mirages of your choice. [Awkward, Slow]	Core		DesertLion
DimensionalGate	-	Near	A mystic gate! The GM names 4 random elements, you pick which 2 come out of the gate.	Wave	Dangerous	 [Dangerous]	A mystic gate! The GM names 4 random elements, you pick which 2 come out of the gate. [Dangerous]	Core		DGate, DimensionGate
FireBurner	3	Near	Blow chaotic flames that crack and destroy any structures they hit.	Wave	Dangerous	 [Dangerous]	Blow chaotic flames that crack and destroy any structures they hit. [Dangerous]	Core		
FireTower	4	Close	Burn out! Spend 1 Stamina to pick 2: doesn’t hurt you; your element is briefly Fire; the fire stays.	Wave	Dangerous	 [Dangerous]	Burn out! Spend 1 Stamina to pick 2: doesn’t hurt you; your element is briefly Fire; the fire stays. [Dangerous]	Core		
FlameArm	3	Near	Flame cannon! Covers targets in soot, upshifting their Charm rolls until they get cleaned off.	Wave	Awkward, Dangerous	 [Awkward, Dangerous]	Flame cannon! Covers targets in soot, upshifting their Charm rolls until they get cleaned off. [Awkward, Dangerous]	Core		
GunDelSol	2+X	Near	Fires concentrated sunlight onto targets. +2 damage if the PET is in direct, bright sunlight.	Wave	Awkward	 [Awkward]	Fires concentrated sunlight onto targets. +2 damage if the PET is in direct, bright sunlight. [Awkward]	Core		
IceWave	2	Near	A wave of ice freezes the ground in its wake, turning everything it touches cold and slippery.	Wave	Slow	 [Slow]	A wave of ice freezes the ground in its wake, turning everything it touches cold and slippery. [Slow]	Core		
MudWave	2	Near	Creates a wide mudslide. Everyone who gets hit upshifts their next Speed roll.	Wave	Awkward	 [Awkward]	Creates a wide mudslide. Everyone who gets hit upshifts their next Speed roll. [Awkward]	Core		
MysticMist	1	Near	Pick 2: the mist doesn’t go away; upshift target’s next Sense roll; you’re invisible in the mist.	Wave			Pick 2: the mist doesn’t go away; upshift target’s next Sense roll; you’re invisible in the mist.	Core		
NOBeam	3	Near	Fires a devastating light shaft forward. Only usable if you just gained Charge from combat.	Wave	Piercing, Awkward	 [Piercing, Awkward]	Fires a devastating light shaft forward. Only usable if you just gained Charge from combat. [Piercing, Awkward]	Core		NO-Beam
NorthWind	-	Near	A righteous wind blows. All of the target’s temporary buffs are immediately dissipated.	Wave			A righteous wind blows. All of the target’s temporary buffs are immediately dissipated.	Core		
Poltergeist	2x2	Near	Pick 2 large objects in range that aren’t stuck to a surface; they slam into the target.	Wave	Dangerous	 [Dangerous]	Pick 2 large objects in range that aren’t stuck to a surface; they slam into the target. [Dangerous]	Core	A-License	
Pulsar	1	Near	Fires a sonic blast that disorients targets, upshifting their next roll on hit.	Wave	Accurate, Awkward	 [Accurate, Awkward]	Fires a sonic blast that disorients targets, upshifting their next roll on hit. [Accurate, Awkward]	Core		
RedWave	2	Near	Creates a wide lava wave, leaving pools of lava behind.	Wave	Piercing, Dangerous	 [Piercing, Dangerous]	Creates a wide lava wave, leaving pools of lava behind. [Piercing, Dangerous]	Core		
SonicWave	2	Near	A shockwave runs along the ground, also hitting everything between you and the target.	Wave	Slow	 [Slow]	A shockwave runs along the ground, also hitting everything between you and the target. [Slow]	Core		
Spice	-	Near	Spore cloud! Pick 2 effects: Mind -1; speech slurs; sprouts mushrooms; very flammable.	Wave	Piercing	 [Piercing]	Spore cloud! Pick 2 effects: Mind -1; speech slurs; sprouts mushrooms; very flammable. [Piercing]	Core		
TidalWave	2	Near	Creates a wide tidal wave.	Wave	Accurate	 [Accurate]	Creates a wide tidal wave. [Accurate]	Core		
ToadMelody	-	Near	Pick 2: stuns targets; next Charm roll has more range; your next water-related attack is Piercing.	Wave	Awkward, Slow	 [Awkward, Slow]	Pick 2: stuns targets; next Charm roll has more range; your next water-related attack is Piercing. [Awkward, Slow]	Core	S-License	
Tornado	2	Near	Creates a swirling cyclone that rolls forward, flinging everything in its path.	Wave	Piercing, Dangerous, Slow	 [Piercing, Dangerous, Slow]	Creates a swirling cyclone that rolls forward, flinging everything in its path. [Piercing, Dangerous, Slow]	Core		
WoodTower	3	Close	Sharp logs erupt! Doesn’t hurt you. Spend 1 Stamina to sprout a huge tree somewhere Near.	Wave	Piercing, Dangerous	 [Piercing, Dangerous]	Sharp logs erupt! Doesn’t hurt you. Spend 1 Stamina to sprout a huge tree somewhere Near. [Piercing, Dangerous]	Core		
YamatoRush	2	Near	Spear soldiers! Can spend 1 Bravery to upshift defense or give the soldiers another order.	Wave			Spear soldiers! Can spend 1 Bravery to upshift defense or give the soldiers another order.	Core	C-License	
										
Aura	-	-	Attacks that would deal <4 damage do not affect you. Lasts 10 rolls or until you take damage.	Support	Mega, Guard	 [Mega, Guard]	Attacks that would deal <4 damage do not affect you. Lasts 10 rolls or until you take damage. [Mega, Guard]	Core		
Avatar	-	-	Your next 3 rolls spawn your element Close and get +3 dice. Downshift non-attack Affinity rolls.	Support	Mega, Simple	 [Mega, Simple]	Your next 3 rolls spawn your element Close and get +3 dice. Downshift non-attack Affinity rolls. [Mega, Simple]	Core		
BlackHoleBomb	3	Near	Everything Near the target is sucked Close to it. Then it blasts for 4 Piercing dmg! (User unaffected.)	Thrown	Mega, Accurate, Dangerous	 [Mega, Accurate, Dangerous]	Everything Near the target is sucked Close to it. Then it blasts for 4 Piercing dmg! (User unaffected.) [Mega, Accurate, Dangerous]	Core		
CornFiesta	4	Near	Corn everywhere! Gain the element Corn for 5 rolls. Then all corn bursts! 2 damage to any Close.	Wave	Mega	 [Mega]	Corn everywhere! Gain the element Corn for 5 rolls. Then all corn bursts! 2 damage to any Close. [Mega]	Core		
DeltaRayEdge	3xX	Near	Rush together & combo strike with allies! (X=# of people rushing together; max 3.)	Rush	Mega, Awkward	 [Mega, Awkward]	Rush together & combo strike with allies! (X=# of people rushing together; max 3.) [Mega, Awkward]	Core		
ElementalSonicWave	2xX	Near	Magic sword! X=1+Near Bonded allies. Target is hit with your + Near Bonded allies’ elements.	Blade	Mega, Awkward	 [Mega, Awkward]	Magic sword! X=1+Near Bonded allies. Target is hit with your + Near Bonded allies’ elements. [Mega, Awkward]	Core		
ElementSurge	X	Near	Your element devastates all Near enemies! X=2x[Navi Affinity]. You also take X damage.	Wave	Mega	 [Mega]	Your element devastates all Near enemies! X=2x[Navi Affinity]. You also take X damage. [Mega]	Core		
GateMagic	-	-	Use 3 Hazard/Summon chips in your or any allied Folder, even if spent. They aren’t spent.	Summon	Mega, Simple	 [Mega, Simple]	Use 3 Hazard/Summon chips in your or any allied Folder, even if spent. They aren’t spent. [Mega, Simple]	Core		
MeteorKnuckle	6	Close	A colossal fist falls from the sky onto the target, sending out massive, earth-shattering fissures.	Impact	Mega, Dangerous, Slow	 [Mega, Dangerous, Slow]	A colossal fist falls from the sky onto the target, sending out massive, earth-shattering fissures. [Mega, Dangerous, Slow]	Core		
NaviRecycle	-	-	Use a copy of the last NaviChip that affected you.	NaviChip	Mega	 [Mega]	Use a copy of the last NaviChip that affected you. [Mega]	Core		
SuperVulcan	2x4	Near	A golden gun fires a barrage of bullets.	Shot	Mega, Piercing	 [Mega, Piercing]	A golden gun fires a barrage of bullets. [Mega, Piercing]	Core		
UnityBoost	-	Near	Next time you use a BattleChip, all Bonded allies in range gain the benefits that affect you.	Support	Mega, Simple	 [Mega, Simple]	Next time you use a BattleChip, all Bonded allies in range gain the benefits that affect you. [Mega, Simple]	Core		
										
LifeAura	-	-	A shadowy orb protects the user from all attacks under 5 damage. All Near noise is muted.	Support	Dark, Guard, Dangerous	 [Dark, Guard, Dangerous]	A shadowy orb protects the user from all attacks under 5 damage. All Near noise is muted. [Dark, Guard, Dangerous]	DarkChips		
GraveBreath	-	Far	Sinister breath bathes the server. Others suffer your bugs and lose 1 HP each time they roll.	Hazard	Dark, Slow	 [Dark, Slow]	Sinister breath bathes the server. Others suffer your bugs and lose 1 HP each time they roll. [Dark, Slow]	DarkChips		
AlphaClaw	4xX	Near	Massive claws! X=1; +1 per AlphaSeed in the server. On deletion, Alpha absorbs the target.	Blade	Dark, Dangerous	 [Dark, Dangerous]	Massive claws! X=1; +1 per AlphaSeed in the server. On deletion, Alpha absorbs the target. [Dark, Dangerous]	DarkChips		
JusticeFist	4	Close	Strike with Duo’s fury! Deals double damage if the target is unable or unwilling to fight back.	Impact	Dark, Dangerous	 [Dark, Dangerous]	Strike with Duo’s fury! Deals double damage if the target is unable or unwilling to fight back. [Dark, Dangerous]	DarkChips		
ApexPredator	5	Close	If this deletes, swallow the target and add their stats to yours. Your body shifts & grows.	Impact	Dark, Piercing	 [Dark, Piercing]	If this deletes, swallow the target and add their stats to yours. Your body shifts & grows. [Dark, Piercing]	DarkChips		
FlashMemory	-	Far	Rewind the memory of any number of targets in range up to 10 minutes. They won’t feel a thing.	Support	Dark	 [Dark]	Rewind the memory of any number of targets in range up to 10 minutes. They won’t feel a thing. [Dark]	DarkChips		
BeastOver	2+X	Near	Shred the target at Close. Increase your Daemon Bond as much as you want; X=[Daemon Bond].	Rush	Dark, Dangerous	 [Dark, Dangerous]	Shred the target at Close. Increase your Daemon Bond as much as you want; X=[Daemon Bond]. [Dark, Dangerous]	DarkChips		
BitterTalon	3	Close	If you failed a social Charm or Bravery roll on the target in the past, deal triple damage.	Blade	Dark	 [Dark]	If you failed a social Charm or Bravery roll on the target in the past, deal triple damage. [Dark]	DarkChips		
										
DarkBomb	2	Near	Claw bomb digs in! Explodes for 6 dmg after they roll 3 times. Hard Strength to rip out.	Thrown	Dark, Piercing	 [Dark, Piercing]	Claw bomb digs in! Explodes for 6 dmg after they roll 3 times. Hard Strength to rip out. [Dark, Piercing]	DarkChips		
DarkBrand	2	Close	Mark a target. Pick an event. If they mention it, the mark explodes for 10 dmg. Ignores Guards.	Impact	Dark, Dangerous, Slow	 [Dark, Dangerous, Slow]	Mark a target. Pick an event. If they mention it, the mark explodes for 10 dmg. Ignores Guards. [Dark, Dangerous, Slow]	DarkChips		
DarkBrush	4	Near	Spread mystic ink! Learn 1: their greatest fear; their greatest love; their darkest secret.	Thrown	Dark	 [Dark]	Spread mystic ink! Learn 1: their greatest fear; their greatest love; their darkest secret. [Dark]	DarkChips		
DarkCannon	5	Far	Fires a devastating shot that pierces anything in its path. Bypasses all Guards. Never stops.	Shot	Dark, Piercing, Dangerous	 [Dark, Piercing, Dangerous]	Fires a devastating shot that pierces anything in its path. Bypasses all Guards. Never stops. [Dark, Piercing, Dangerous]	DarkChips		
DarkCircle	2+X	Near	Dark artillery fires from your body. Hits as many targets in range as you want. X = # of targets.	Shot	Dark, Accurate, Awkward	 [Dark, Accurate, Awkward]	Dark artillery fires from your body. Hits as many targets in range as you want. X = # of targets. [Dark, Accurate, Awkward]	DarkChips		
DarkDrill	4	Close	Rip them apart. Damage lowers the target’s Max HP. Lasts a long time, even after jack-out.	Impact	Dark, Piercing	 [Dark, Piercing]	Rip them apart. Damage lowers the target’s Max HP. Lasts a long time, even after jack-out. [Dark, Piercing]	DarkChips		
DarkFlame	4	Near	The target's PET overheats. NetOp takes 1 damage on chip use or roll holding the PET.	Wave	Dark, Dangerous	 [Dark, Dangerous]	The target's PET overheats. NetOp takes 1 damage on chip use or roll holding the PET. [Dark, Dangerous]	DarkChips		
DarkHeart	-	-	Until jack-out, add [Daemon Bond]x2 to Charm social rolls. Any you charm get a Daemon Bond.	Support	Dark, Simple	 [Dark, Simple]	Until jack-out, add [Daemon Bond]x2 to Charm social rolls. Any you charm get a Daemon Bond. [Dark, Simple]	DarkChips		
DarkInsert	-	Near	Spawn all Near allies’ elements. They can’t control their element anymore, but you can.	Summon	Dark	 [Dark]	Spawn all Near allies’ elements. They can’t control their element anymore, but you can. [Dark]	DarkChips		
