Command	Alias	Type	Hidden?	Ruling?	Response
capstone	capstonescene	Reminders (Base)	FALSE		Once two characters, Navis or NetOps, develop a close bond, they can have a __**capstone scene**__ — an important, emotional scene that crystalizes the connection between the two characters. They can either happen between a player character and an NPC or between two PCs with **Bond Level 3**.\n\nCapstone scenes have three requirements:\n- **A meaningful interaction**, prepared by at least one PC involved, that demonstrates how far the relationship has developed.\n- **A location to meet** that everyone involved collaborates to choose and describe — preferably one private, quiet, and meaningful.\n- **Enough time** to express their feelings with little interruption.\n\nThe scene itself is up to the players, and should be communicated to both the GM and involved players ahead of time. Once the requirements are met and everyone is in agreement, the scene can begin. If it goes well, the Navis can harness the emotional energy to **create a single NaviChip with both their data**! (They do not have to participate in the scene to still create a capstone scene NaviChip.)
independent	indies, independentnavis, indienavis, independents, indie	Reminders (Base)	FALSE		__**Independent Navis**__ are Navis that function alone, with no NetOp to assist them.\n\nAs they are always online and never jack out, they can **rest for a few hours** to **restore their HP, spent skills/stats, and reconfigure their NaviCust.** While resting, Navis are completely inert. If a Navi is forced to act immediately after resting, they upshift their first three rolls.\n\nInstead of preparing Folders and slotting chips in, Independent Navis carry chip uses in their Folder at all times. Normal chips range from 0 to 3 uses; MegaChips max out at 1 use. They cannot hold more chips than their Folder size. Using a chip decrements the remaining number of uses; zero-use chips are unusable but still take Folder space, and disappear when removed from a Folder. **Independent Navis get a number of starting chips equal to their Folder size, each with two uses.**\n\n**Independent Navis have their own version of the Goals system**. Instead of earning skill points, they get +2 EB. They also use the Bond system, though FullSynchro is unusable. \n\nFor more details on **Advanced Rulings** for Independent Navis, use `help independent adv`! If you're not sure how a chip or NCP translates to Independent Navis, try checking those rules!
independentadv	indieadv, indiesadv, indieadvanced, indiesadvanced, indienaviadv, indienavisadv, indienaviadvanced, indienavisadvanced, independentadvanced, independentsadv, independentsadvanced, independentnaviadv, independentnavisadv, independentnaviadvanced, independentnavisadvanced	Reminders (Base)	FALSE		For **__Independent Navis__**, anything that requires sacrificing a **chip** sacrifices a charge instead. Anything that counts used chips in a Folder only counts zero-use chips. Any **NCP** that activates on jack-in instead activates after rest or drawing on a Hotspot. \n\nAnything that disrupts the link between Navi and **PET** instead jams their Folder; if something otherwise affects or depends on the PET, it instead affects/depends on the last used Hotspot. \n\nLastly, two Navi Power change for Independent Navis: **Reconfig** instantly trades BattleChips with a Near ally, and **Refresh** adds +2 to the user’s Folder size until rest. You can query them with ProgBot using `power ReconfigIndie` and `power RefreshIndie`.
hotspot	hotspots	Reminders (Base)	FALSE		**__Hotspots__** are landmarks containing power, ranging from symbolic statues to mysterious effigies and glowing fissures. All Hotspots have a **power rating** from 3 to 9. Hotspots also have an element relating to their origin or meaning, similar to Navis.\n\nNavis can draw upon Hotspots by making physical contact for a minute. Afterwards, they can reduce the Hotspot’s power rating by one to pick an effect:\n- Restore all missing HP and stat/skill points.\n- Set a BattleChip's uses to 3 (MegaChips incompatible).\n- Get +3 EB (expires next rest/Hotspot use) & reconfig your NCPs.\n- Raise a stat under 3 to 3. Expires next rest/Hotspot use.\n- Gain the Hotspot's element until next rest/Hotspot use.\n\nAfter a Hotspot’s power is reduced, it may take days or weeks to recover. Increasing a Hotspot’s power rating requires a high concentration of complex expressive data in its vicinity - in other words, strong expressions of emotion. That could manifest as an art festival, music concert, or dramatic battle. The more Navis, energy, and strong emotions are involved, the more power is added.
					
teen	teens, teen, teenstat, teenstats, teennetop, teennetops	Reminders (Advanced Content)	FALSE		**__Teen__** NetOps **stats** start at 2, except for one at 1.\nTeen **skills** start at 0 by default. Choose three skills and set them to 1. Choose one skill to set at 2, and one to set at 3.\nMaximum **HP** starts at **Body + Stamina + 5**.\nTeens also have **two Talents**. Use `help talent` for more details!\n\nBy default, NetOps start with **4 starter BattleChips**, not including any personal chips. Try `chip starter` for a list, or `chip c-license` if you're using License rules!
adult	adult, adults, adultstat, adultstats, adultnetop, adultnetops	Reminders (Advanced Content)	FALSE		**__Adult__** NetOps set one **stat** to 1, one to 2, and one to 3.\nAdult **skills** start at 0 by default. Choose two skills and set them to 1. Choose two other skills and set at 2.\nMaximum **HP** starts at **Body + Stamina + 5**.\nAdults also have **three Talents**. Use `help talent` for more details!\n\nBy default, NetOps start with **4 starter BattleChips**, not including any personal chips. Try `chip starter` for a list, or `chip c-license` if you're using License rules!
license	s-license, b-license, c-license, a-license, licenses	Reminders (Advanced Content)	FALSE		Experienced NetBattlers can start off with **__NetBattling Licenses__**, indicating their level of experience and power. There are three License ranks in the book: **C**, **A**, and **S-License**.\n\n **C-License:** *Experienced NetBattlers - best in the city*\n> Start with a NaviCust and **6EB** of space. You can have **one** Personal BattleChip. Pick from the base and C-License pools for your starting chips, as well as 4EB worth of NCPs to start out with.\n\n**A-License:** *Top-Tier NetBattlers - best in the nation*\n> Start with a NaviCust and **10EB** of space. You can have **two** Personal BattleChips. Pick from the base, C-License, and A-License pools for your starting chips, as well as 6EB worth of NCPs to start out with.\n\n**S-License:** *Legendary NetBattlers - best in the world*\n> Start with a NaviCust and **15EB** of space. You can have **three** Personal BattleChips. Pick from the base, C-License, A-License, and S-License pools for your starting chips, as well as 10EB worth of NCPs to start out with.\n\nFor more details on personal chips, try `help personal chips`.
personalchips	personalchip, personalbattlechips, personalbattlechip	Reminders (Advanced Content)	FALSE		When creating new characters, especially if they are starting off with Licenses, GMs may allow NetOps to get __**Personal BattleChips**__ when choosing starting chips.\n\nWhen the player chooses a Personal BattleChip, they pick any normal BattleChip that fits thematically with their NetOp/Navi, including whatever Crossover Content the GM allows. (i.e. PaladinSword for a medieval-style Navi, or Timpani for a drummer NetOp.) **The GM always gets the final say as to whether a BattleChip can be taken as a Personal BattleChip. **Personal Battlechips **do not** count towards the normal starting chip limit.
					
liberation	alarm, liberationmission, lock, libmission, locks, liberationmissions, libmissions	Reminders (Liberation)	FALSE		During __**Liberation Missions**__, tile entrances are armed with a sensor field to detect intruders. When a player enters the field, the **__alarm__** is triggered, though they may be able to bypass the sensors using Sneakrun or a chip like Invis or Shadow. Players are unable to bring their element from a prior room; the sensor field dissipates the element.\n\n**Each alarmed tile has an alarm control panel.** If the room is cleared of threats (no remaining hostile Viruses and hazards neutralized), the alarm deactivates automatically. Some rooms may allow players to leave the room before the alarm deactivates; in that case, the alarm will not sound if everyone leaves the room, but it will not count as deactivated and will reactivate the next time the players enter.\n\nAlarms have **Countdowns** before they activate. Type `help countdown` for more details.\n\nThe base types of locks are **Lockboxes**, **CryptoLocks**, **ProgLocks**, **SyncLocks**, and **StealthLocks**. Type `help [lock]` (i.e. `help lockbox`) for more details.
countdown	countdowns	Reminders (Liberation)	FALSE		There is a brief period between the alarm being triggered and its activation called the __**Countdown**__. During the Countdown, the GM gives the players a timer number, with lower numbers being more severe.\n\nEvery time a player **rolls** or uses a **Cost Power** or **BattleChip**, the Countdown timer lowers by 1. (Simple chips and Instant Powers do not decrease the timer.) Parrying and defending against an attack does not lower the Countdown timer.\n\n When the timer hits 0, the alarm sounds, which triggers one or more repercussions.
perfectliberation	perfectlib	Reminders (Liberation)	FALSE		If the tile is cleared with each player reducing the Countdown timer by one or less, the players get a __**Perfect Liberation**__.\nAfter the mission is complete, the GM may give the players a reward based on the number of Perfect Liberations they achieved.
lockbox	lockboxes	Reminders (Liberation)	TRUE		__**Lockboxes**__ are encased in a hard shell that requires force to break. Once the shell is gone, anyone can disable it by pressing the buttons.
cryptolock	cryptolocks	Reminders (Liberation)	TRUE		__**CryptoLocks**__ are encrypted, unlocked by a **Normal Coding** roll.
proglock	proglocks	Reminders (Liberation)	TRUE		__**ProgLocks**__ are special blue-colored Mr. Progs. These Progs are able to turn the alarm on and off, but they tend to have personality quirks, and are often oblivious to threats facing the system. ProgLocks can often be deactivated by charming them or helping them with a small task, though intimidation may also work. Deleting a ProgLock automatically activates the alarm and makes it impossible to disable.
synclock	synclocks	Reminders (Liberation)	TRUE		__**SyncLocks**__ are made to ensure only human-controlled Navis pass. On activation, a series of prompts appears on the NetOp’s PET. The NetOp must succeed an **Easy Affinity** roll to sync up with their Navi and clear the prompts together. (Unusable by Independent Navis.)
stealthlock	stealthlocks	Reminders (Liberation)	TRUE		__**StealthLocks**__ are invisible control panels. They emit a subtle audio signal (e.g. beeping; static) and can be found with a **Sense** roll, though noisy environments make that Hard. StealthLocks throw a shower of sparks when damaged, briefly revealing their position.
generator	generators	Reminders (Liberation)	FALSE		Liberation maps may have **__Generator__** tiles. Generators create extra difficulties for nearby tiles while they’re active, and are usually tightly guarded. Generators double as the alarm control for their tiles.\n\nPlayers will have to sabotage the generator to disable them; exactly how is up to the GM. Some generators can be hacked before being disabled for a one-time benefit.\n\nFor help on specific generators, try asking for it specifically! (i.e. `help amplifier`)
amplifier	amplifiers	Reminders (Liberation)	TRUE		__**Amplifiers**__ are bulky machines that temporarily power up Viruses within two tiles. First, the Viruses start beeping. Next, they swell with energy, getting +2 dice to their next roll.\nWhen hacking an Amplifier, for each hit, everyone gets that many bonus dice on their next roll.
spawner	spawners	Reminders (Liberation)	TRUE		**__Spawners__** are glowing platforms that generate specific Viruses. When players clear a tile, the Spawner creates a Virus on a Spawner-adjacent tile. Spawners can only add one Virus per tile. If all adjacent tiles have a generated Virus, the Spawner expands its range by one.\nOn hacking a Spawner, it makes a friendly Virus to help the players.
shaker	shakers	Reminders (Liberation)	TRUE		__**Shakers**__ are huge pistons that periodically sound a siren, then slam into the ground, sending massive shockwaves to nearby tiles. The GM decides the Shaker’s range. Anyone on the ground while the shockwaves rock nearby tiles upshifts their next roll. Shakers may also make the environment gradually more dangerous with their shattering quakes.\nOn successfully hacking a Shaker, at any point, the Navi can trigger a single remote earthquake in the tile they’re in.
scanner	scanners	Reminders (Liberation)	TRUE		**__Scanners__** are giant radars that beep, then scan nearby tiles. The GM decides their range and if their view moves clockwise or counterclockwise. When the Scanner sweeps over a tile with players, any player caught moving reduces the Countdown by 2. The sweep lasts a few moments.\nWhen hacking a Scanner, the Navi can pick a contested tile. For each hit, the player can ask the GM about the tile’s: Viruses, hazards, alarm type, or threat.
jammer	jammers	Reminders (Liberation)	TRUE		**__Jammers__** are radio towers that enhance adjacent tiles’ alarms. In addition to the alarm’s normal effects, the Jammer fills the tile with PET-jamming signals, blocking chip usage and communication between NetOps and Navis until the alarm is deactivated.
					
audience	audienceparticipation	Rollers	FALSE	audienceruling	This command lets you query the Cheer/Jeer tables from the __**Audience Participation**__ rules and roll random Cheer/Jeer effects! (You can also use `cheer` and `jeer` as shortcuts.) Type `audience help` for more details!
cheer		Rollers	FALSE	cheerruling	This command lets you query the __**Cheer**__ tables and roll random Cheer effects! Type `cheer help` for more details!
jeer		Rollers	FALSE	jeerruling	This command lets you query the __**Jeer**__ tables and roll random Jeer effects! Type `jeer help` for more details!
goallock	goallocks	Reminders (Liberation)	TRUE		__**GoalLocks**__ look like sports goals, labelled to show who owns them. They give the owner a point when something specific is put inside (e.g. a ball; a Mettaur; a cake.) If a room has only one GoalLock, it gives a point to whoever makes the goal. When the alarm triggers, the team with the most points wins.
teamlock	teamlocks	Reminders (Liberation)	TRUE		__**TeamLocks**__ look like pressure plates, buttons, and other simple devices. TeamLocks only appear in team matches. If teams have X number of players, a tile has X number of TeamLocks. All of them must be activated simultaneously by Close Navis in order to work. The first team to work the TeamLock wins.
crownlock	crownlocks	Reminders (Liberation)	TRUE		__**CrownLocks**__ look like large, fancy headware. Once a Navi puts it on, it shines bright. When the Navi would cause the tile’s Countdown to lower by 1, they instead gain a point. Removing the crown does not reset points. When a Navi reaches 3 points, the CrownLock activates and the Navi wins.
					
daemon		Lookups	FALSE	daemonruling	This command looks up a **Daemon's** information for DarkChip rules. For additional details on DarkChip rules (i.e. DarkChip limits, Tributes, ChaosUnisons, and Daemon Bonds), try checking `help` (i.e. `help darkchips`).
darkchip	darkchips, signaturedarkchip, signaturedarkchips	Reminders (DarkChips)	FALSE		**__DarkChips__** are destructive BattleChips connected to an outside entity - a **Daemon**. When a Navi first comes into contact with a DarkChip, even if they don’t use it, a Daemon will gain a tenuous link. If the Navi ignores the Daemon's temptations for long enough, the link will fade. However, using a DarkChip creates a Bond with the Daemon instead.\n\nWhenever a Navi uses a DarkChip, they have a choice - either **increase their Daemon Bond by 1** or perform their **Tribute**.\n\nEach DarkChip disappears after a single use. **DarkChips have the same restrictions as MegaChips.** However, when a Daemon puts a DarkChip in a Navi’s Folder, it ignores all Folder restrictions.\n\n**Signature DarkChips** can only be granted by one particular Daemon. They emphasize the strongest and most terrible aspects of that Daemon.
tribute	tributes, daemontribute, daemontributes	Reminders (DarkChips)	FALSE		**__Tributes__** are cruel acts of penace that highlight the Daemon’s worst. Tributes have long-lasting consequences that persist on jack-out.\n\nWhen a Navi uses a DarkChip, they can choose to perform a Tribute instead of increasing their Daemon Bond. However, once the Navi has at least **Daemon Bond Level 3**, the Daemon can independently trigger their Tribute. When a Daemon triggers a Tribute, there will be warning signs, like a creeping feeling, icy hands, or uncontrollable shivers — and it’s sure to happen at the worst time possible.
chaosunison	chaosunisons, chaosunion, chaosunions	Reminders (DarkChips)	FALSE		**__ChaosUnisons__** are corruptions of the Bond Power CrossSoul. When a Navi with a Daemon Bond activates CrossSoul, instead of spending 3 Bond Points, they can **spend a DarkChip to trigger a ChaosUnison**. ChaosUnisons still Cross with an ally and contain all the benefits of a CrossSoul, but with three additional effects:\n>>> **1.** Gain an extra Daemon-specific ChaosUnison benefit.\n**2.** CrossSoul instead lasts for **[Daemon Bond Level]x2 + 2** rolls.\n**3.** The Navi increases their Daemon Bond Level by 1 after it ends.
domain	domains, daemondomain, daemondomains	Reminders (DarkChips)	FALSE		**__Domains__** represent the feelings the Daemon preys on and what benefits it offers. Domains influence the kinds of DarkChips Daemons provide, how they influence NetOps and Navis, and its Tribute.
daemonbond	daemonbonds	Reminders (DarkChips)	FALSE		Each __**Daemon Bond**__ Level a NetOp gains with a Daemon increases the influence the Daemon has over the Navi. Unlike normal Bonds, **Daemon Bonds can exceed 3**. However, Navis cannot CrossSoul with Daemons.\n\n**Reminder:** Daemon Bonds are not a sign that the Navi and NetOp are “evil.” Daemons are cruel beings that prey on people’s flaws. Daemon Bonds are a sign of unhealthy coping methods, not evil.\n\nPlayer characters with a Daemon Bond gain an extra goal: **Subvert your Daemon’s desire**. Doing so should be meaningful and difficult — especially difficult if done alone. When complete, in addition to other benefits, reduce the Daemon Bond Level by one..\n\nUse `>help daemonbondex` to see the full list of Daemon Bond effects. Unless stated otherwise, the effect of each Bond Level stacks with the following levels.
daemonbondex	daemonbondexamples, daemonbondlist, daemonbonddetails, daemonbonddetail	Reminders (DarkChips)	TRUE		**Bond Level 1:** The Daemon can freely communicate with the NetOp and Navi via the PET, using whatever form or voice they choose.\n**Bond Level 2:** When the Navi rolls mixed successes during ChaosUnison, the Daemon can choose to turn them into failures or full successes. The Daemon can also subtly manipulate the NetOp’s PET.\n**Bond Level 3:** The Daemon can remotely trigger a Tribute for any reason, or no reason at all.\n**Bond Level 4:** When the Navi uses a DarkChip, the NetOp must make an Easy Affinity roll to prevent the Daemon from taking control of the Navi.\n**Bond Level 5:** The Navi can ChaosUnison directly with the Daemon, adding 4 to every skill. DarkChip use now requires a Normal NetOp Affinity roll to prevent the Daemon from controlling the Navi.\n**Bond Level 6+:** The NetOp must make a Hard Affinity roll on jack-out, DarkChip use, and when a target is deleted. Failing this roll means the Daemon assumes total control of the Navi, likely permanently.
					
netrace	netracing, leg, legs	Reminders (Advanced Content)	FALSE		During a __**NetRace**__, each Navi's vehicle uses their stats & skills, and anything that affects the vehicle also affects the Navi. Each racer also tracks their **__Velocity__**, which starts at 3 and measures their relative position to other racers. (Close: 0-2 Velocity difference; Near: 3-5 Velocity difference; Far: 6+ Velocity difference)\n\nChips/powers that move you a range band give +/-2 Velocity, and cannot move 2 range bands. When damaged, racers can reduce either HP or Velocity. Velocity cannot go below 0. The racer that completes the final leg with the highest Velocity wins the race.\n\n Each leg follows the flowchart below:\n>>> **1.** GM describes the leg and its difficulty.\n**2.** Players can spend 1 Velocity to roll or use a chip/power. Navi Powers can only be used once per race.\n**3.** Racers roll to tackle the leg, rolling at the same time and adding the number of hits to their velocity. Racers can only use each skill to overcome a leg once per race.
downtime	outofsessiondowntime, out-of-sessiondowntime, out-of-session-downtime,oosdowntime	Reminders (Advanced Content)	FALSE		In between sessions, the GM can offer __**Out-of-Session Downtime**__. Out-of-session downtime functions similarly to normal in-session downtime, in which player characters relax and socialize to recoup Bond Points, except that the results are written down for the group.\n\nEach player can **recoup 1 Bond Point** each out-of-session downtime by picking one of the below options. The result should be long enough such that a character comes to a meaningful realization, or something new and significant is established about a relationship or the setting. **If it involves other characters, be sure to collaborate with their players/GM.**\n> **1:** Pick at least one other player character and have an **in-character conversation** about something important to the plot, your relationship(s), or your character(s).\n> **2:** Write an **in-character diary entry** about something that happened in the story so far.\n> **3:** Write a brief description of a meaningful **memory** your character has from before the campaign began.\n\nYou can frame any of these as having occurred in the past, especially if, at the time of writing, there is no sensible narrative time for downtime to occur. \nIf you do out-of-session downtime multiple times, don’t pick the same option twice in a row.\nShare the results of your downtime with the group, though don’t expect everyone to read everything.\nFeel free to substitute writing for another art form (e.g. visual art, music).
mod	networkmod	Lookups	FALSE	networkmodruling	This command looks up __**Network Modifiers**__ from NetBattlers Advance.
networkmodifier	networkmodifiers, networkmods	Reminders (Advanced Content)	TRUE	networkmodruling	
divergence	diverge	Reminders (Advanced Content)	FALSE		As living, feeling beings, Navis can rewrite their own code by **__Diverging__**, redefining their identity as they develop a sense of self. This can change their element, name, pronouns, appearance, stat/skill allocation, and more.\nDivergence has three steps: \n\n> **1. Foundation:** A history of feelings that leave room for future Divergence (i.e. a repressed, consistent negative reaction; a discomfort assumed to be shared by everyone; setbacks internalized as unavoidable/unsurpassable). Foundations do not need to happen on-camera, nor do they need to be dramatic, traumatic, or tragic.\n\n> **2. Catalyst:** An event (or series of events) that crystalizes the need to change (i.e. a hard-fought netbattle, deep one-on-one conversations, gradually connecting with someone who's also changed). Catalysts should not create immediate change; they create a turning point in which the Navi starts to actively pursue their own Divergence. Players should collaborate with their GM to get what they want out of the Catalyst. \n\n> **3. Divergence:** Once the Navi has found their Catalyst and spent enough time processing and exploring their revelation, they can find a calm, private place and Diverge. Players and GMs should work closely together on how the Divergence manifests. The player has total narrative control over how it looks and feels. At any point before completing the third step, players can choose to make Diverging a goal.
					
upgrade	npu	Lookups	FALSE	npuruling	This command looks up all __**Navi Power Upgrades**__ for a default Navi Power.
navipowerupgrades	upgrades		TRUE	npuruling	
megavirus	megaviruses	Reminders (Advanced Content)	FALSE		__**Mega Viruses**__ are Viruses with stronger abilities and more complicated powers. Due to their complex programming, Mega Viruses are **not affected** by anything that only works on Viruses (i.e. Overwrite NCP, Recall chip, certain Virus powers).\n\nAdditionally, some Mega Viruses may be controlled by **signal nodes**: powerful code clusters that issue commands from afar. Some signal nodes can be destroyed, some can be hacked, and others can simply be waited out until the node can't power the MegaVirus anymore. Once a signal node is overcome, it grants all of the Mega Virus's BattleChip drops.
signalnode	signalnodes, controlnode, controlnodes	Reminders (Advanced Content)	FALSE		__**Signal Nodes**__ are powerful code clusters housed in well-protected (or well-hidden) structures that issue commands to Mega Viruses from afar. Some signal nodes can be destroyed, some can be hacked, and others can simply be waited out until the node can't power the MegaVirus anymore.\n\nOnce a signal node is overcome, it grants all of the Mega Virus's chip drops.
omegavirus	omegaviruses, omega	Reminders (Advanced Content)	FALSE		__**Omega Viruses**__ are the Omega versions of Mega Viruses and are even stronger than their original form: they can have higher stats/skills, improved Powers, and extra abilities.\n\nThe same rules and restrictions for Mega Viruses apply:  Omega Viruses are **not affected** by anything that only works on Viruses, and some may be controlled by **signal nodes** from afar.\n\nAll Omega Viruses drop their **MegaChip** when overcome (unless explicitly stated otherwise) - no roll necessary.
achievements	achievement, achieve	Lookups	FALSE	achievementruling	This command looks up an __**Achievement**__ from NetBattlers Advance.
weather	cyberweather	Lookups	FALSE	weatherruling	This command looks up __**CyberWeather**__ from NetBattlers Advance.
weatherforecast	randomweather	Rollers	FALSE		This command rolls a random __**CyberWeather**__ from NetBattlers Advance.
					
rollhelp		Rollers	TRUE		Syntax Examples:\n>>> `r 5d6>4`: Rolls five six-sided dice (5d6), counting results greater than 4 as hits.\n`r $N5`: Roll five six-sided dice at Normal difficulty (same as 5d6>4). Use `E` for Easy and `H` for Hard.\n`#`: Comment character. (i.e. `r $N6 # jumpjets` adds the comment `# jumpjets` after the results.)\n`+1`: Adds 1 to the results.\n`k1`: Keep highest 1. (i.e. `r 2d6k1`: rolls two six-sided dice and keeps the higher)\n`l1`: Keep lowest 1. (i.e. `r 2d6l1`: rolls two six-sided dice and keeps the lower)\n`!6`: Explode on values equal to or greater than 6. (i.e. `r 5d6!6>4`: rolls five six-sided dice that explode on 6, counting results above 4 as successes) *When a dice explodes, you roll another dice and add the result to the pool. Additional dice can also explode.*
mysterydataruling		Reminders (Base)	TRUE		__**Mystery Data**__ (MD) is valuable data that can’t be identified until opened, like a shut treasure chest. They may be found by searching the scene, given as payment by NPCs, need to be picked up during a fight, or even sold in shops! (Be careful that a Virus isn't using it as a disguise!)\n\nNavis can touch it to get the goods within. Their contents can be randomized using `mysterydata`, or predetermined in some way. Basic Mystery Data has 3 rarities:\n- **Common** MD can comfortably be given out multiple times a session.\n- **Uncommon** MD is more elaborate, and can comfortably be given out once a session.\n- **Rare** MD is the biggest and shiniest; GMs can comfortably give it as a milestone reward.\n\nAdditionally, there are special types of Mystery Data called **Advance Mystery Data**, each of which has its own theme. Unless otherwise stated in the data’s description, these all rare and hard to come by!\n- **Gold** MD contains *Advanced Support Chips* and *Navi Power Upgrades* and are often given as prizes in tournaments.\n- **Violet** MD contains *core* content and *Mystic Lilies* crossover content. Rumors say that holding it to your ear lets you hear the voices of the dead.\n- **Sapphire** MD contains *core* content, *Leximancy* crossover content, and *Tarot BattleChips*. It’s occasionally used as decoration due to how it refracts light into vibrant, gleaming rainbows.\n- **Sunny** MD is luminous, warm to the touch, and sometimes shaped like beach balls.
spotlightruling		Reminders (Base)	TRUE		When a scene with fast-moving and complex action starts, the GM creates the __**Spotlight Checklist**__: a checklist with each player's name on it. It's used to keep track of which player acted most recently.\n\nAfter describing the scene, the GM asks the players who'd like to act first. The GM then asks the player what they'd like to do as their character takes the attention of the scene. The spotlight lasts for a few moments - generally only enough time for a single roll or chip.\n\nOnce they've used their time in the spotlight, the GM marks them off the Spotlight Checklist, and the **player that just acted** suggests another player go next. Once all players are marked off, the list refreshes, removing all marks.\n\nIf a character is hindered by something like failing a jack-in roll, the GM can say they cannot be chosen to take the spotlight. When choosing who goes next, the player can confer with the others to see who's interested, but if the discussion starts to drag on, the GM can choose for them. **Players cannot pick themselves to act next**.\n\nFor a deeper explanation of actions that can and cannot interrupt the checklist, type `help spotlightex`!
ncpruling		Reminders (Base)	TRUE		**__Navi Customizer Programs__ (NCPs)** are installable software NetOps can use to modify their Navi. They can give various perks like improving Navi skills, expanding Folders, granting special abilities, and more. Each NCP costs EB to install; the total EB of installed programs cannot exceed the NaviCust’s capacity. \nWhile jacked out, NCPs can be installed, removed, and swapped. Unless stated otherwise, NCPs cannot be changed while the Navi is jacked in. \n\nAdditionally, the effects of multiple Navi Power or unique NCPs **do not stack**, unless stated otherwise. Having multiple copies of the same NCP installed does not work differently than having only one. Only Stat+1 and Skill+1 can benefit from having multiple installed at the same time.
bondruling		Reminders (Base)	TRUE		__**Bonds**__ are connections forged through shared experiences, typically between NetOps! \n\nBonds are measured in **Bond Levels**, starting at 0 and going up to 3. Bond Levels are shared — getting a Bond Level with a friend increases their Bond Level with you. **Bond Levels are increased** when one or more player characters play a critical role in helping another complete a **Goal**.\n\nBond Points can be spent on **Bond Powers**. Spend time off with a NetOp to get Bond Points equal to your Bond Level with them. (You cannot have more Bond Points than all of your Bond Levels combined.) When you gain a Bond Level, you also gain a Bond Point.\n\nWhen using a Bond Power, make sure to describe how it looks and what memory you draw on to activate it! Nobody other than the user can dispel or mitigate the boosts Navis get from Bond Powers.\n\nOptionally, when two characters reach Bond Level 3, they can have a **capstone scene** — an important, emotional scene that crystalizes the connection between the two into a NaviChip. For more details, try `help capstone`!
chipruling		Reminders (Base)	TRUE		__**BattleChips**__ are one-use attacks that NetOps slot into their PETs. When a NetOp slots in a BattleChip, it is used immediately unless otherwise listed. Many BattleChips have **secondary effects**, like stunning or reducing one of the target’s skills. To resist these, the target must roll more hits than the chip’s damage.\n\nWhen a Navi attacks with a BattleChip, the Navi doesn’t roll; the target must defend against the damage value of the chip. If the chip inflicts a negative effect without damage, targets roll to resist it like an unopposed roll (i.e. 1 hit = mixed success; 2 hits = full success). Unless otherwise noted, BattleChips cannot hit beyond their listed range. After a Navi uses a BattleChip, they need to jack out to make that BattleChip usable again, or to change their Folder. \n\nWhen a NetOp slots in a BattleChip, it is used immediately unless otherwise listed. Because chips are physically slotted into the PET, a NetOp may need to make a roll to slot in a chip when under pressure — typically **Info**, **Speed**, or **Affinity**.\n\nIf you have questions about edge cases regarding a chip, either a specific one or in general, try `help chip clarifications`!
virusruling		Reminders (Base)	TRUE		__**Viruses**__ are programs with simple, animal-like minds. Evildoers often deploy them in groups to wreak havoc on digital spaces, but some servers use friendly Viruses to help with everyday tasks. Viruses come in a wide variety of models, able to power up allies, replicate Navi abilities, or simply cause chaos. \n\nEach Virus has a general **Category**, which helps describe their type (i.e. Artillery Viruses firing long-range blasts), while some may have **Tags** which indicate special common properties (i.e. Hovering). Viruses use Powers just like Navis, and many have special, custom abilities!\n\nIf a Virus seems more advanced than it should be - if it has a visual **tell** - it may be equipped with a use of a **BattleChip**! (Virus Powers that modify attacks don't modify their chips.)\n\n**All Viruses have data within them that can be downloaded upon deletion.** Check out `help download` for more detail!
elementruling		Reminders (Base)	TRUE		When Navis roll Affinity, they can summon or manipulate their **__element__**. **Player Navis** can only summon and manipulate *tangible* manifestations of their element. This means *emotions, sensations, or abstract concepts* cannot be directly summoned or manipulated; however, summoned objects may be able to manipulate abstract ideas. *Directly modifying a physical object* also counts as a tangible manifestation.\n\nIn general, using your element becomes more difficult at *greater quantities or distances*. *Broadly-defined elements* also have a harder time performing specific actions. Powerful elements should have *limitations or drawbacks*. Unless using the Navi Power Control, damaging Elements are *Hazards*. Without GM assent, elements only act as defined above. \n\nWhen a Navi has access to multiple elements at once, they can summon and manipulate them all at the same time. _Summoning or manipulating them separately with a single roll will likely upshift the roll difficulty._\n\n**NPCs and enemies, especially bosses, may ignore these restrictions.** Enemy elements may be overpowering or have special mechanics tied to them. Make sure to find ways to overcome the enemy's element!
npuruling		Reminders (Advanced Content)	TRUE		__**Navi Power Upgrades**__ (NPUs) are NCPs that can be used to upgrade Navi Powers. All NPUs require the original Navi Power, either from character creation or a NaviCust Program. **You can only have one Navi Power Upgrade installed for each Navi Power**; you cannot get around the “one NPU per power” restriction by installing duplicate Navi Powers.\nBenefits from Navi Power Upgrades are lost if either the Upgrade or the Navi Power itself are uninstalled. Anything that copies Navi Powers (e.g. NaviChips) also copies NPUs. 
powerruling		Reminders (Base)	TRUE		All Navis have __**Navi Powers**__: special abilities they can use at any time. There are two types of powers:\n- <:cost:> **Cost Powers** reduce the relevant skill by one to use them, no roll required. Cost Powers cannot be used if the skill is 0.\n > - <:roll:> **Roll Powers** roll the relevant skill to use the power.\n\nAdditionally, certain powers activate <:instant:> **Instantly** and can be used alongside other rolls, Powers, or chips, though they cannot be used to interrupt other's actions.\nTargets can defend against Navi Powers that directly impede them (e.g. Disruption; not Analyze).\n\nIf you have questions about edge cases regarding a Navi Power, try `help power clarifications`!
